,STOP_ID,DIRECTION_ID,STOP_NAME,STATION_NAME,STATION_DESCRIPTIVE_NAME,MAP_ID,ADA,RED,BLUE,G,BRN,P,Pexp,Y,Pnk,O,Location,Lat,Long,Comm_Area
0,30082,E,Cicero (Loop-bound),Cicero,Cicero (Pink Line),40420,True,False,False,False,False,False,False,False,True,False,"41.85182, -87.745336",41.85182,-87.745336,0
1,30151,E,Central Park (Loop-bound),Central Park,Central Park (Pink Line),40780,True,False,False,False,False,False,False,False,True,False,"41.853839, -87.714842",41.853839,-87.714842,29
2,30184,W,Halsted/63rd (Ashland-bound),Halsted,Halsted (Green Line),40940,True,False,False,True,False,False,False,False,False,False,"41.778943, -87.644244",41.778943,-87.644244,68
3,30044,N,Cumberland (O'Hare-bound),Cumberland,Cumberland (Blue Line),40230,True,False,True,False,False,False,False,False,False,False,"41.984246, -87.838028",41.984246,-87.838028,76
4,30092,E,Racine (O'Hare-bound),Racine,Racine (Blue Line),40470,False,False,True,False,False,False,False,False,False,False,"41.87592, -87.659458",41.87592,-87.659458,28
5,30253,N,Paulina (Kimball-bound),Paulina,Paulina (Brown Line),41310,True,False,False,False,True,False,False,False,False,False,"41.943623, -87.670907",41.943623,-87.670907,6
6,30162,W,18th (54th/Cermak-bound),18th,18th (Pink Line),40830,True,False,False,False,False,False,False,False,True,False,"41.857908, -87.669147",41.857908,-87.669147,31
7,30374,S,Clark/Lake (Forest Pk-bound),Clark/Lake,"Clark/Lake (Blue, Brown, Green, Orange, Purple & Pink lines)",40380,True,False,True,False,False,False,False,False,False,False,"41.885737, -87.630886",41.885737,-87.630886,32
8,30248,S,Jefferson Park (Forest Pk-bound),Jefferson Park,Jefferson Park (Blue Line),41280,True,False,True,False,False,False,False,False,False,False,"41.970634, -87.760892",41.970634,-87.760892,11
9,30104,S,Diversey (Loop-bound),Diversey,Diversey (Brown & Purple lines),40530,True,False,False,False,True,False,True,False,False,False,"41.932732, -87.653131",41.932732,-87.653131,6
10,30287,N,Montrose (Kimball-bound),Montrose,Montrose (Brown Line),41500,True,False,False,False,True,False,False,False,False,False,"41.961756, -87.675047",41.961756,-87.675047,4
11,30068,E,UIC-Halsted (O'Hare-bound),UIC-Halsted,UIC-Halsted (Blue Line),40350,True,False,True,False,False,False,False,False,False,False,"41.875474, -87.649707",41.875474,-87.649707,28
12,30214,S,35-Bronzeville-IIT (63rd-bound),35th-Bronzeville-IIT,35th-Bronzeville-IIT (Green Line),41120,True,False,False,True,False,False,False,False,False,False,"41.831677, -87.625826",41.831677,-87.625826,35
13,30102,S,Foster (Howard-Loop-bound),Foster,Foster (Purple Line),40520,False,False,False,False,False,True,True,False,False,False,"42.05416, -87.68356",42.05416,-87.68356,0
14,30008,S,Quincy/Wells (Outer Loop),Quincy/Wells,"Quincy/Wells (Brown, Orange, Purple & Pink lines)",40040,True,False,False,False,True,False,False,False,False,False,"41.878723, -87.63374",41.878723,-87.63374,32
15,30070,N,Southport (Kimball-bound),Southport,Southport (Brown Line),40360,True,False,False,False,True,False,False,False,False,False,"41.943744, -87.663619",41.943744,-87.663619,6
16,30252,S,Loyola (95th-bound),Loyola,Loyola (Red Line),41300,True,True,False,False,False,False,False,False,False,False,"42.001073, -87.661061",42.001073,-87.661061,1
17,30237,N,47th (Howard-bound),47th,47th (Red Line),41230,True,True,False,False,False,False,False,False,False,False,"41.810318, -87.63094",41.810318,-87.63094,37
18,30267,N,Bryn Mawr (Howard-bound),Bryn Mawr,Bryn Mawr (Red Line),41380,False,True,False,False,False,False,False,False,False,False,"41.983504, -87.65884",41.983504,-87.65884,77
19,30190,W,Harlem (Forest Pk Branch) (Terminal arrival),Harlem,Harlem (Blue Line - Forest Park Branch),40980,False,False,True,False,False,False,False,False,False,False,"41.87349, -87.806961",41.87349,-87.806961,0
20,30173,N,Howard (Terminal arrival),Howard,"Howard (Red, Purple & Yellow lines)",40900,True,True,False,False,False,False,False,False,False,False,"42.019063, -87.672892",42.019063,-87.672892,1
21,30207,E,Kedzie (63rd-bound),Kedzie,Kedzie (Green Line),41070,True,False,False,True,False,False,False,False,False,False,"41.884321, -87.706155",41.884321,-87.706155,27
22,30218,W,King Drive (Harlem-bound),King Drive,King Drive (Green Line),41140,True,False,False,True,False,False,False,False,False,False,"41.78013, -87.615546",41.78013,-87.615546,42
23,30057,W,Ashland/63rd (Terminal arrival),Ashland/63rd,Ashland/63rd (Green Line),40290,True,False,False,True,False,False,False,False,False,False,"41.77886, -87.663766",41.77886,-87.663766,67
24,30088,N,95th/Dan Ryan (Howard-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),40450,True,True,False,False,False,False,False,False,False,False,"41.722377, -87.624342",41.722377,-87.624342,49
25,30129,N,Western (O'Hare Branch) (O'Hare-bound),Western,Western (Blue Line - O'Hare Branch),40670,True,False,True,False,False,False,False,False,False,False,"41.916157, -87.687364",41.916157,-87.687364,22
26,30128,S,Armitage (Loop-bound),Armitage,Armitage (Brown & Purple lines),40660,True,False,False,False,True,False,True,False,False,False,"41.918217, -87.652644",41.918217,-87.652644,7
27,30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),40450,True,True,False,False,False,False,False,False,False,False,"41.722377, -87.624342",41.722377,-87.624342,49
28,30269,N,Roosevelt (Howard-bound),Roosevelt,"Roosevelt (Red, Orange & Green lines)",41400,True,True,False,False,False,False,False,False,False,False,"41.867368, -87.627402",41.867368,-87.627402,33
29,30256,S,Belmont (95th-bound),Belmont,"Belmont (Red, Brown & Purple lines)",41320,True,True,False,False,False,False,False,False,False,False,"41.939751, -87.65338",41.939751,-87.65338,6
30,30114,W,54th/Cermak (Terminal arrival),54th/Cermak,54th/Cermak (Pink Line),40580,True,False,False,False,False,False,False,False,True,False,"41.85177331, -87.75669201",41.85177331,-87.75669201,0
31,30217,E,King Drive (Cottage Grove-bound),King Drive,King Drive (Green Line),41140,True,False,False,True,False,False,False,False,False,False,"41.78013, -87.615546",41.78013,-87.615546,42
32,30134,S,Dempster (Howard-Loop-bound),Dempster,Dempster (Purple Line),40690,False,False,False,False,False,True,True,False,False,False,"42.041655, -87.681602",42.041655,-87.681602,0
33,30236,S,Fullerton (Loop-bound),Fullerton,"Fullerton (Red, Brown & Purple lines)",41220,True,False,False,False,True,False,True,False,False,False,"41.925051, -87.652866",41.925051,-87.652866,7
34,30149,N,Lawrence (Howard-bound),Lawrence,Lawrence (Red Line),40770,False,True,False,False,False,False,False,False,False,False,"41.969139, -87.658493",41.969139,-87.658493,3
35,30158,W,Illinois Medical District (Forest Pk-bound),Illinois Medical District,Illinois Medical District (Blue Line),40810,True,False,True,False,False,False,False,False,False,False,"41.875706, -87.673932",41.875706,-87.673932,28
36,30290,S,Lake (95th-bound),Lake,Lake (Red Line),41660,True,True,False,False,False,False,False,False,False,False,"41.884809, -87.627813",41.884809,-87.627813,32
37,30047,S,79th (95th-bound),79th,79th (Red Line),40240,True,True,False,False,False,False,False,False,False,False,"41.750419, -87.625112",41.750419,-87.625112,44
38,30243,E,Austin (63rd-bound),Austin,Austin (Green Line),41260,False,False,False,True,False,False,False,False,False,False,"41.887293, -87.774135",41.887293,-87.774135,25
39,30084,E,Clinton (O'Hare-bound),Clinton,Clinton (Blue Line),40430,False,False,True,False,False,False,False,False,False,False,"41.875539, -87.640984",41.875539,-87.640984,28
40,30231,N,Wellington (Kimball-Linden-bound),Wellington,Wellington (Brown & Purple lines),41210,True,False,False,False,True,False,True,False,False,False,"41.936033, -87.653266",41.936033,-87.653266,6
41,30175,N,"Howard (Linden, Skokie-bound)",Howard,"Howard (Red, Purple & Yellow lines)",40900,True,False,False,False,False,True,True,True,False,False,"42.019063, -87.672892",42.019063,-87.672892,1
42,30263,E,Oak Park (63rd-bound),Oak Park,Oak Park (Green Line),41350,False,False,False,True,False,False,False,False,False,False,"41.886988, -87.793783",41.886988,-87.793783,0
43,30130,S,Western (O'Hare Branch) (Forest Pk-bound),Western,Western (Blue Line - O'Hare Branch),40670,True,False,True,False,False,False,False,False,False,False,"41.916157, -87.687364",41.916157,-87.687364,22
44,30268,S,Bryn Mawr (95th-bound),Bryn Mawr,Bryn Mawr (Red Line),41380,False,True,False,False,False,False,False,False,False,False,"41.983504, -87.65884",41.983504,-87.65884,77
45,30279,N,Chicago (Howard-bound),Chicago,Chicago (Red Line),41450,True,True,False,False,False,False,False,False,False,False,"41.896671, -87.628176",41.896671,-87.628176,8
46,30155,N,Sedgwick (Kimball-Linden-bound),Sedgwick,Sedgwick (Brown & Purple lines),40800,True,False,False,False,True,False,True,False,False,False,"41.910409, -87.639302",41.910409,-87.639302,8
47,30239,N,Addison (O'Hare-bound),Addison,Addison (Blue Line),41240,True,False,True,False,False,False,False,False,False,False,"41.94738, -87.71906",41.94738,-87.71906,16
48,30288,S,Montrose (Loop-bound),Montrose,Montrose (Brown Line),41500,True,False,False,False,True,False,False,False,False,False,"41.961756, -87.675047",41.961756,-87.675047,4
49,30015,S,Jackson/Dearborn (Forest Pk-bound),Jackson,Jackson (Blue Line),40070,True,False,True,False,False,False,False,False,False,False,"41.878183, -87.629296",41.878183,-87.629296,32
50,30202,W,Kedzie (54th/Cermak-bound),Kedzie,Kedzie (Pink Line),41040,True,False,False,False,False,False,False,False,True,False,"41.853964, -87.705408",41.853964,-87.705408,29
51,30154,S,Monroe (Forest Pk-bound),Monroe,Monroe (Blue Line),40790,False,False,True,False,False,False,False,False,False,False,"41.880703, -87.629378",41.880703,-87.629378,32
52,30195,N,Rockwell (Kimball-bound),Rockwell,Rockwell (Brown Line),41010,True,False,False,False,True,False,False,False,False,False,"41.966115, -87.6941",41.966115,-87.6941,4
53,30041,W,Damen (54th/Cermak-bound),Damen,Damen (Pink Line),40210,True,False,False,False,False,False,False,False,True,False,"41.854517, -87.675975",41.854517,-87.675975,31
54,30180,W,Pulaski (Forest Pk-bound),Pulaski,Pulaski (Blue Line),40920,False,False,True,False,False,False,False,False,False,False,"41.873797, -87.725663",41.873797,-87.725663,26
55,30101,N,Foster (Linden-bound),Foster,Foster (Purple Line),40520,False,False,False,False,False,True,True,False,False,False,"42.05416, -87.68356",42.05416,-87.68356,0
56,30004,W,Harlem (Terminal arrival),Harlem/Lake,Harlem/Lake (Green Line),40020,True,False,False,True,False,False,False,False,False,False,"41.886848, -87.803176",41.886848,-87.803176,0
57,30384,S,Washington/Wabash (Inner Loop),Washington/Wabash,"Washington/Wabash (Brown, Green, Orange, Purple & Pink lines)",41700,True,False,False,True,False,False,True,False,True,True,"41.88322, -87.626189",41.88322,-87.626189,32
58,30266,W,California (Harlem-bound),California,California (Green Line),41360,True,False,False,True,False,False,False,False,False,False,"41.88422, -87.696234",41.88422,-87.696234,27
59,30021,S,Morse (95th-bound),Morse,Morse (Red Line),40100,False,True,False,False,False,False,False,False,False,False,"42.008362, -87.665909",42.008362,-87.665909,1
60,30060,N,Western (Loop-bound),Western,Western (Orange Line),40310,True,False,False,False,False,False,False,False,False,True,"41.804546, -87.684019",41.804546,-87.684019,63
61,30096,S,Grand/Milwaukee (Forest Pk-bound),Grand,Grand (Blue Line),40490,False,False,True,False,False,False,False,False,False,False,"41.891189, -87.647578",41.891189,-87.647578,24
62,30375,N,Clark/Lake (O'Hare-bound),Clark/Lake,"Clark/Lake (Blue, Brown, Green, Orange, Purple & Pink lines)",40380,True,False,True,False,False,False,False,False,False,False,"41.885737, -87.630886",41.885737,-87.630886,32
63,30095,N,Grand/Milwaukee (O'Hare-bound),Grand,Grand (Blue Line),40490,False,False,True,False,False,False,False,False,False,False,"41.891189, -87.647578",41.891189,-87.647578,24
64,30062,N,Division (O'Hare-bound),Division,Division (Blue Line),40320,False,False,True,False,False,False,False,False,False,False,"41.903355, -87.666496",41.903355,-87.666496,24
65,30185,N,Pulaski (Loop-bound),Pulaski,Pulaski (Orange Line),40960,True,False,False,False,False,False,False,False,False,True,"41.799756, -87.724493",41.799756,-87.724493,62
66,30161,E,18th (Loop-bound),18th,18th (Pink Line),40830,True,False,False,False,False,False,False,False,True,False,"41.857908, -87.669147",41.857908,-87.669147,31
67,30293,N,Sheridan (Howard-Linden-bound),Sheridan,Sheridan (Red Line),40080,False,False,False,False,False,False,False,False,False,False,"41.953775, -87.654929",41.953775,-87.654929,6
68,30272,S,Chicago (Forest Pk-bound),Chicago,Chicago (Blue Line),41410,False,False,True,False,False,False,False,False,False,False,"41.896075, -87.655214",41.896075,-87.655214,24
69,30090,N,Merchandise Mart (Kimball-Linden-bound),Merchandise Mart,Merchandise Mart (Brown & Purple lines),40460,True,False,False,False,True,False,True,False,False,False,"41.888969, -87.633924",41.888969,-87.633924,8
70,30061,S,Western (Midway-bound),Western,Western (Orange Line),40310,True,False,False,False,False,False,False,False,False,True,"41.804546, -87.684019",41.804546,-87.684019,63
71,30171,N,O'Hare (Terminal Arrival),O'Hare,O'Hare (Blue Line),40890,True,False,True,False,False,False,False,False,False,False,"41.97766526, -87.90422307",41.97766526,-87.90422307,76
72,30245,N,43rd (Harlem-bound),43rd,43rd (Green Line),41270,True,False,False,True,False,False,False,False,False,False,"41.816462, -87.619021",41.816462,-87.619021,38
73,30093,W,Racine (Forest Pk-bound),Racine,Racine (Blue Line),40470,False,False,True,False,False,False,False,False,False,False,"41.87592, -87.659458",41.87592,-87.659458,28
74,30265,E,California (63rd-bound),California,California (Green Line),41360,True,False,False,True,False,False,False,False,False,False,"41.88422, -87.696234",41.88422,-87.696234,27
75,30063,S,Division (Forest Pk-bound),Division,Division (Blue Line),40320,False,False,True,False,False,False,False,False,False,False,"41.903355, -87.666496",41.903355,-87.666496,24
76,30036,N,Sox-35th (Howard-bound),Sox-35th,Sox-35th (Red Line),40190,True,True,False,False,False,False,False,False,False,False,"41.831191, -87.630636",41.831191,-87.630636,34
77,30083,W,Cicero (54th/Cermak-bound),Cicero,Cicero (Pink Line),40420,True,False,False,False,False,False,False,False,True,False,"41.85182, -87.745336",41.85182,-87.745336,0
78,30198,S,Logan Square (Forest Pk-bound),Logan Square,Logan Square (Blue Line),41020,True,False,True,False,False,False,False,False,False,False,"41.929728, -87.708541",41.929728,-87.708541,22
79,30020,N,Morse (Howard-bound),Morse,Morse (Red Line),40100,False,True,False,False,False,False,False,False,False,False,"42.008362, -87.665909",42.008362,-87.665909,1
80,30115,N,Damen/Milwaukee (O'Hare-bound),Damen,Damen (Blue Line),40590,False,False,True,False,False,False,False,False,False,False,"41.909744, -87.677437",41.909744,-87.677437,24
81,30156,S,Sedgwick (Loop-bound),Sedgwick,Sedgwick (Brown & Purple lines),40800,True,False,False,False,True,False,True,False,False,False,"41.910409, -87.639302",41.910409,-87.639302,8
82,30240,S,Addison (Forest Pk-bound),Addison,Addison (Blue Line),41240,True,False,True,False,False,False,False,False,False,False,"41.94738, -87.71906",41.94738,-87.71906,16
83,30032,E,Ashland (Loop-63rd-bound),Ashland,Ashland (Green & Pink lines),40170,True,False,False,True,False,False,False,False,True,False,"41.885269, -87.666969",41.885269,-87.666969,28
84,30108,S,Irving Park (O'Hare Branch) (Forest Pk-bound),Irving Park,Irving Park (Blue Line),40550,False,False,True,False,False,False,False,False,False,False,"41.952925, -87.729229",41.952925,-87.729229,16
85,30386,N,Wilson (Linden-bound),Wilson,Wilson (Red & Purple lines),40540,True,False,False,False,False,False,True,False,False,False,"41.964273, -87.657588",41.964273,-87.657588,3
86,30193,N,Cermak-Chinatown (Howard-bound),Cermak-Chinatown,Cermak-Chinatown (Red Line),41000,True,True,False,False,False,False,False,False,False,False,"41.853206, -87.630968",41.853206,-87.630968,34
87,30262,W,LaSalle (Forest Pk-bound),LaSalle,LaSalle (Blue Line),41340,False,False,True,False,False,False,False,False,False,False,"41.875568, -87.631722",41.875568,-87.631722,32
88,30169,N,Thorndale (Howard-bound),Thorndale,Thorndale (Red Line),40880,False,True,False,False,False,False,False,False,False,False,"41.990259, -87.659076",41.990259,-87.659076,77
89,30046,N,79th (Howard-bound),79th,79th (Red Line),40240,True,True,False,False,False,False,False,False,False,False,"41.750419, -87.625112",41.750419,-87.625112,44
90,30147,N,Granville (Howard-bound),Granville,Granville (Red Line),40760,True,True,False,False,False,False,False,False,False,False,"41.993664, -87.659202",41.993664,-87.659202,77
91,30014,N,Jackson/Dearborn (O'Hare-bound),Jackson,Jackson (Blue Line),40070,True,False,True,False,False,False,False,False,False,False,"41.878183, -87.629296",41.878183,-87.629296,32
92,30274,S,Addison (95th-bound),Addison,Addison (Red Line),41420,True,True,False,False,False,False,False,False,False,False,"41.947428, -87.653626",41.947428,-87.653626,6
93,30085,W,Clinton (Forest Pk-bound),Clinton,Clinton (Blue Line),40430,False,False,True,False,False,False,False,False,False,False,"41.875539, -87.640984",41.875539,-87.640984,28
94,30264,W,Oak Park (Harlem-bound),Oak Park,Oak Park (Green Line),41350,False,False,False,True,False,False,False,False,False,False,"41.886988, -87.793783",41.886988,-87.793783,0
95,30196,S,Rockwell (Loop-bound),Rockwell,Rockwell (Brown Line),41010,True,False,False,False,True,False,False,False,False,False,"41.966115, -87.6941",41.966115,-87.6941,4
96,30150,S,Lawrence (95th-bound),Lawrence,Lawrence (Red Line),40770,False,True,False,False,False,False,False,False,False,False,"41.969139, -87.658493",41.969139,-87.658493,3
97,30054,E,Central (63rd-bound),Central,Central (Green Line),40280,True,False,False,True,False,False,False,False,False,False,"41.887389, -87.76565",41.887389,-87.76565,25
98,30292,W,Conservatory (Harlem-bound),Conservatory,Conservatory (Green Line),41670,True,False,False,True,False,False,False,False,False,False,"41.884904, -87.716523",41.884904,-87.716523,27
99,30232,S,Wellington (Loop-bound),Wellington,Wellington (Brown & Purple lines),41210,True,False,False,False,True,False,True,False,False,False,"41.936033, -87.653266",41.936033,-87.653266,6
